lifecount	lifetime	regression	ratio
0	0.0	771	1.0
1	0.05	612	0.7937743190661478
2	0.1	543	0.7042801556420234
3	0.15000000000000002	471	0.6108949416342413
4	0.2	428	0.5551232166018158
5	0.25	381	0.49416342412451364
6	0.30000000000000004	350	0.45395590142671854
7	0.35000000000000003	325	0.42153047989623865
8	0.4	305	0.3955901426718547
9	0.45	277	0.35927367055771725
10	0.5	250	0.324254215304799
11	0.55	236	0.30609597924773024
12	0.6000000000000001	221	0.28664072632944226
13	0.65	209	0.2710765239948119
14	0.7000000000000001	192	0.2490272373540856
15	0.75	183	0.23735408560311283
16	0.8	176	0.22827496757457846
17	0.8500000000000001	170	0.2204928664072633
18	0.9	162	0.21011673151750973
19	0.9500000000000001	156	0.20233463035019456
20	1.0	147	0.19066147859922178
21	1.05	138	0.17898832684824903
22	1.1	130	0.16861219195849547
23	1.1500000000000001	122	0.1582360570687419
24	1.2000000000000002	120	0.1556420233463035
25	1.25	114	0.14785992217898833
26	1.3	112	0.14526588845654995
27	1.35	108	0.14007782101167315
28	1.4000000000000001	106	0.13748378728923477
29	1.4500000000000002	99	0.12840466926070038
30	1.5	95	0.12321660181582361
31	1.55	93	0.12062256809338522
32	1.6	90	0.11673151750972763
33	1.6500000000000001	86	0.11154345006485085
34	1.7000000000000002	84	0.10894941634241245
35	1.75	83	0.10765239948119326
36	1.8	82	0.10635538261997406
37	1.85	81	0.10505836575875487
38	1.9000000000000001	81	0.10505836575875487
39	1.9500000000000002	79	0.10246433203631647
40	2.0	78	0.10116731517509728
41	2.0500000000000003	77	0.09987029831387809
42	2.1	77	0.09987029831387809
43	2.15	74	0.0959792477302205
44	2.2	72	0.0933852140077821
45	2.25	71	0.09208819714656291
46	2.3000000000000003	70	0.0907911802853437
47	2.35	69	0.08949416342412451
48	2.4000000000000004	67	0.08690012970168612
49	2.45	65	0.08430609597924774
50	2.5	65	0.08430609597924774
51	2.5500000000000003	65	0.08430609597924774
52	2.6	63	0.08171206225680934
53	2.6500000000000004	61	0.07911802853437094
54	2.7	59	0.07652399481193256
55	2.75	59	0.07652399481193256
56	2.8000000000000003	59	0.07652399481193256
57	2.85	57	0.07392996108949416
58	2.9000000000000004	56	0.07263294422827497
59	2.95	55	0.07133592736705577
60	3.0	54	0.07003891050583658
61	3.0500000000000003	53	0.06874189364461739
62	3.1	52	0.06744487678339818
63	3.1500000000000004	51	0.06614785992217899
64	3.2	48	0.0622568093385214
65	3.25	43	0.055771725032425425
66	3.3000000000000003	43	0.055771725032425425
67	3.35	43	0.055771725032425425
68	3.4000000000000004	43	0.055771725032425425
69	3.45	43	0.055771725032425425
70	3.5	43	0.055771725032425425
71	3.5500000000000003	42	0.054474708171206226
72	3.6	41	0.05317769130998703
73	3.6500000000000004	39	0.05058365758754864
74	3.7	39	0.05058365758754864
75	3.75	37	0.04798962386511025
76	3.8000000000000003	35	0.04539559014267185
77	3.85	34	0.04409857328145266
78	3.9000000000000004	33	0.042801556420233464
79	3.95	33	0.042801556420233464
80	4.0	33	0.042801556420233464
81	4.05	32	0.041504539559014265
82	4.1000000000000005	31	0.040207522697795074
83	4.15	29	0.03761348897535668
84	4.2	28	0.03631647211413749
85	4.25	27	0.03501945525291829
86	4.3	27	0.03501945525291829
87	4.3500000000000005	27	0.03501945525291829
88	4.4	27	0.03501945525291829
89	4.45	27	0.03501945525291829
90	4.5	26	0.03372243839169909
91	4.55	26	0.03372243839169909
92	4.6000000000000005	26	0.03372243839169909
93	4.65	26	0.03372243839169909
94	4.7	26	0.03372243839169909
95	4.75	24	0.0311284046692607
96	4.800000000000001	24	0.0311284046692607
97	4.8500000000000005	23	0.029831387808041506
98	4.9	23	0.029831387808041506
99	4.95	23	0.029831387808041506
